,BHR,ROM,POR,ESP,MCO,AZE,FRA,STY,AUT,GBR,HUN,BEL,NLD,ITA,RUS,TUR,USA,MEX,BRA,QAT,SAU,ARE
Verstappen,18.0,25.0,18.0,19.0,25.0,0.0,26.0,25.0,26.0,3.0,2.0,12.5,25.0,2.0,18.0,18.0,25.0,25.0,20.0,19.0,18.0,26.0
Hamilton,25.0,19.0,25.0,25.0,7.0,0.0,18.0,19.0,12.0,27.0,18.0,7.5,19.0,0.0,25.0,10.0,19.0,18.0,25.0,25.0,26.0,18.0
Bottas,16.0,0.0,16.0,15.0,0.0,0.0,12.0,15.0,18.0,16.0,0.0,0.0,15.0,18.0,10.0,26.0,8.0,0.0,18.0,0.0,15.0,8.0
Pérez,10.0,0.0,12.0,10.0,12.0,25.0,15.0,12.0,8.0,0.0,0.0,0.0,4.0,10.0,2.0,15.0,15.0,15.0,13.0,12.0,0.0,0.0
Sainz,4.0,10.0,0.0,6.0,18.0,4.0,0.0,8.0,10.0,8.0,15.0,0.5,6.0,8.0,15.0,4.0,6.0,8.0,9.0,6.0,4.0,15.0
Norris,12.0,15.0,10.0,4.0,15.0,10.0,10.0,10.0,15.0,12.0,0.0,0.0,1.0,18.0,7.0,6.0,4.0,1.0,1.0,2.0,1.0,6.0
Leclerc,8.0,12.0,8.0,12.0,0.0,12.0,0.0,6.0,4.0,18.0,0.0,2.0,10.0,12.0,0.0,12.0,12.0,10.0,10.0,4.0,6.0,1.0
Ricciardo,6.0,8.0,2.0,8.0,0.0,2.0,8.0,0.0,6.0,10.0,0.0,6.0,0.0,27.0,12.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0
Gasly,0.0,6.0,1.0,1.0,8.0,15.0,6.0,0.0,2.0,0.0,11.0,4.0,12.0,0.0,0.0,8.0,0.0,12.0,6.0,0.0,8.0,10.0
Alonso,0.0,1.0,4.0,0.0,0.0,8.0,4.0,2.0,1.0,6.0,12.0,0.0,8.0,4.0,8.0,0.0,0.0,2.0,2.0,15.0,0.0,4.0
Ocon,0.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,25.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,10.0,12.0,2.0
Vettel,0.0,0.0,0.0,0.0,10.0,18.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0
Stroll,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0
Tsunoda,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0
Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Räikkönen,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Latifi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovinazzi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Schumacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kubica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mazepin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
